Temps (s),Consigne fleche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe fleche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse verin 1 (mm/s),Consigne vitesse verin 2 (mm/s),Consigne vitesse verin 3 (mm/s),Vitesse verin 1 (mm/s),Vitesse verin 2 (mm/s),Vitesse verin 3 (mm/s),Longueur verin 1 (mm),Longueur verin 2 (mm),Longueur verin 3 (mm),Force verin 1 (N),Force verin 2 (N),Force verin 3 (N),Courant verin 1 (A),Courant verin 2 (A),Courant verin 3 (A),Tension verin 1 (V),Tension verin 2 (V),Tension verin 3 (V),Puissance verin 1 (W),Puissance verin 2 (W),Puissance verin 3 (W),Energie verin 1 (J),Energie verin 2 (J),Energie verin 3 (J),Puissance mecanique verin 1 (W),Puissance mecanique verin 2 (W),Puissance mecanique verin 3 (W),Angle moteur verin 1 (rad),Angle moteur verin 2 (rad),Angle moteur verin 3 (rad),Vitesse moteur verin 1 (rad/s),Vitesse moteur verin 2 (rad/s),Vitesse moteur verin 3 (rad/s),Butee fleche,Butee balancier,Butee godet,Butee sol
3.039,30.428,-63.421,72.000,59.942,-63.411,70.325,77.346,-6.535,0.000,-0.013,-0.010,700.0,100.0,35.0,559.9,431.9,8.5,10.000,0.019,-2.513,10.001,0.018,-2.522,31.2,2.7,0.1,-134.2,-130.8,-7.9,0.521,-0.000,-0.005,19.00,0.00,-7.40,9.91,0.00,0.04,29.94,13.54,2.07,1.34,0.00,0.02,1402.249,122.129,2.289,449.920,0.795,-113.442,0,0,0,0
3.045,30.428,-63.421,72.000,59.810,-63.411,70.323,77.346,-6.540,0.000,-0.013,-0.010,700.0,100.0,35.0,560.9,430.6,8.3,10.000,0.019,-2.516,10.001,0.018,-2.522,31.4,2.7,0.1,-134.8,-130.8,-7.9,0.521,-0.000,-0.005,19.00,0.00,-7.38,9.90,0.00,0.04,30.14,13.54,2.07,1.34,0.00,0.02,1411.197,122.129,2.338,449.920,0.802,-113.446,0,0,0,0
3.070,30.428,-63.421,72.000,59.678,-63.411,70.325,77.346,-6.545,0.000,0.009,0.007,700.0,100.0,35.0,561.9,429.3,8.2,10.000,0.019,-2.513,10.001,0.018,-2.518,31.6,2.7,0.1,-134.0,-129.2,-7.4,0.520,-0.000,0.003,19.00,0.00,-7.38,9.89,0.00,0.04,30.34,13.54,2.07,1.35,0.00,0.02,1420.145,122.129,2.293,449.921,0.808,-113.283,0,0,0,0
3.086,30.428,-63.421,72.000,59.547,-63.411,70.323,77.346,-6.550,0.000,0.009,0.007,700.0,100.0,35.0,562.8,428.0,8.1,10.000,0.019,-2.515,10.001,0.018,-2.518,31.8,2.7,0.1,-135.9,-130.9,-7.9,0.520,-0.000,0.003,19.00,0.00,-7.39,9.89,0.00,0.02,30.54,13.54,2.07,1.34,0.00,0.02,1429.093,122.129,2.326,449.921,0.813,-113.285,0,0,0,0
3.118,30.428,-63.421,72.000,59.415,-63.411,70.321,77.346,-6.554,0.000,-0.042,-0.033,700.0,100.0,35.0,563.8,426.7,7.9,10.000,0.019,-2.518,10.001,0.018,-2.540,32.0,2.7,0.1,-140.7,-136.1,-9.6,0.520,-0.000,-0.150,19.00,0.00,-7.37,9.88,0.00,0.02,30.73,13.54,2.07,1.36,0.00,0.02,1438.042,122.129,2.374,449.921,0.817,-114.263,0,0,0,0
3.124,30.428,-63.421,72.000,59.282,-63.411,70.324,77.346,-6.559,0.000,-0.042,-0.033,700.0,100.0,35.0,564.8,425.4,7.8,10.000,0.019,-2.515,10.001,0.018,-2.540,32.2,2.7,0.1,-137.1,-130.9,-8.0,0.519,-0.000,-0.150,19.00,0.00,-7.39,9.87,0.00,1.10,30.93,13.54,2.09,1.41,0.00,0.02,1446.990,122.129,2.315,449.921,0.820,-114.258,0,0,0,0
3.150,30.428,-63.421,72.000,59.150,-63.411,70.322,77.346,-6.564,0.000,-0.042,-0.033,700.0,100.0,35.0,565.8,424.1,7.7,10.000,0.019,-2.518,10.001,0.018,-2.540,32.4,2.7,0.1,-137.7,-130.9,-8.0,0.519,-0.000,-0.150,19.00,0.00,-7.37,9.87,0.00,1.11,31.13,13.54,2.12,1.37,0.00,0.02,1455.939,122.129,2.363,449.921,0.823,-114.261,0,0,0,0
3.166,30.428,-63.421,72.000,59.018,-63.411,70.324,77.346,-6.569,0.000,-0.043,-0.033,700.0,100.0,35.0,566.8,422.8,7.5,10.000,0.019,-2.514,10.001,0.018,-2.539,32.6,2.7,0.1,-138.3,-131.0,-8.0,0.519,-0.000,-0.150,19.00,0.00,-7.40,9.86,0.00,1.10,31.33,13.54,2.14,1.38,0.00,0.02,1464.888,122.129,2.303,449.922,0.825,-114.230,0,0,0,0
3.197,30.428,-63.421,72.000,58.886,-63.411,70.322,77.346,-6.575,0.000,-0.043,-0.033,700.0,100.0,35.0,567.7,421.5,7.4,10.000,0.019,-2.517,10.001,0.018,-2.539,32.8,2.7,0.1,-138.9,-131.0,-8.0,0.518,-0.000,-0.150,19.00,0.00,-7.38,9.85,0.00,1.11,31.52,13.54,2.16,1.38,0.00,0.02,1473.838,122.129,2.352,449.922,0.827,-114.233,0,0,0,0
3.204,30.428,-63.421,72.000,58.753,-63.411,70.325,77.346,-6.580,0.000,-0.043,-0.033,700.0,100.0,35.0,568.7,420.2,7.3,10.000,0.019,-2.513,10.001,0.018,-2.535,33.0,2.7,0.1,-139.5,-131.0,-8.0,0.518,-0.000,-0.150,19.00,0.00,-7.40,9.85,0.00,1.10,31.72,13.54,2.18,1.39,0.00,0.02,1482.787,122.129,2.292,449.922,0.828,-114.042,0,0,0,0
3.229,30.428,-63.421,72.000,58.620,-63.411,70.323,77.346,-6.585,0.000,-0.043,-0.033,700.0,100.0,35.0,569.7,418.9,7.1,10.000,0.019,-2.516,10.001,0.018,-2.535,33.2,2.7,0.1,-140.1,-131.0,-8.1,0.518,-0.000,-0.150,18.99,0.00,-7.38,9.84,0.00,1.11,31.92,13.54,2.20,1.39,0.00,0.02,1491.737,122.130,2.341,449.923,0.829,-114.045,0,0,0,0
3.245,30.428,-63.421,72.000,58.488,-63.411,70.325,77.346,-6.590,0.000,-0.032,-0.025,700.0,100.0,35.0,570.7,417.6,7.0,10.000,0.019,-2.513,10.001,0.018,-2.524,33.4,2.7,0.1,-139.5,-129.6,-7.6,0.517,-0.000,-0.146,18.99,0.00,-7.38,9.83,0.00,1.11,32.11,13.54,2.23,1.40,0.00,0.02,1500.687,122.130,2.285,449.923,0.830,-113.553,0,0,0,0
3.277,30.428,-63.421,72.000,58.355,-63.411,70.323,77.346,-6.595,0.000,-0.032,-0.025,700.0,100.0,35.0,571.6,416.2,6.9,10.000,0.019,-2.515,10.001,0.018,-2.524,33.6,2.7,0.1,-141.3,-131.1,-8.1,0.517,-0.000,-0.146,18.99,0.00,-7.39,9.83,0.00,1.08,32.31,13.54,2.25,1.39,0.00,0.02,1509.637,122.130,2.329,449.923,0.832,-113.554,0,0,0,0
3.293,30.428,-63.421,72.000,58.222,-63.411,70.322,77.346,-6.601,0.000,0.001,0.001,700.0,100.0,35.0,572.6,414.9,6.7,10.000,0.019,-2.517,10.001,0.019,-2.520,33.8,2.7,0.1,-139.8,-128.6,-7.3,0.517,-0.000,-0.134,18.99,0.00,-7.37,9.82,0.00,1.08,32.51,13.54,2.27,1.41,0.00,0.02,1518.588,122.130,2.360,449.923,0.832,-113.356,0,0,0,0
3.309,30.428,-63.421,72.000,58.089,-63.411,70.324,77.346,-6.606,0.000,0.001,0.001,700.0,100.0,35.0,573.6,413.6,6.6,10.000,0.019,-2.515,10.001,0.019,-2.520,34.0,2.7,0.1,-142.4,-131.1,-8.1,0.516,-0.000,-0.134,18.99,0.00,-7.39,9.81,0.00,0.99,32.70,13.54,2.29,1.40,0.00,0.02,1527.539,122.130,2.318,449.924,0.833,-113.355,0,0,0,0
3.340,30.428,-63.421,72.000,57.955,-63.411,70.322,77.346,-6.611,0.000,0.001,0.001,700.0,100.0,35.0,574.5,412.2,6.5,10.000,0.019,-2.518,10.001,0.019,-2.520,34.2,2.7,0.1,-143.0,-131.1,-8.2,0.516,-0.000,-0.134,18.99,0.00,-7.37,9.81,0.00,0.99,32.90,13.54,2.31,1.42,0.00,0.02,1536.490,122.130,2.366,449.924,0.834,-113.358,0,0,0,0
3.347,30.428,-63.421,72.000,57.822,-63.411,70.324,77.346,-6.617,0.000,0.001,0.001,700.0,100.0,35.0,575.5,410.9,6.3,10.000,0.019,-2.514,10.001,0.019,-2.519,34.4,2.7,0.1,-143.6,-131.1,-8.2,0.516,-0.000,-0.134,18.99,0.00,-7.40,9.80,0.00,0.99,33.10,13.54,2.33,1.43,0.00,0.02,1545.441,122.130,2.307,449.924,0.835,-113.342,0,0,0,0
3.371,30.428,-63.421,72.000,57.689,-63.411,70.322,77.346,-6.622,0.000,0.001,0.001,700.0,100.0,35.0,576.4,409.6,6.2,10.000,0.019,-2.517,10.001,0.019,-2.519,34.6,2.7,0.1,-144.2,-131.2,-8.2,0.515,-0.000,-0.134,18.99,0.00,-7.38,9.79,0.00,0.99,33.29,13.54,2.35,1.44,0.00,0.02,1554.392,122.130,2.355,449.924,0.836,-113.345,0,0,0,0
3.387,30.428,-63.421,72.000,57.555,-63.411,70.324,77.346,-6.627,0.000,0.001,0.001,700.0,100.0,35.0,577.4,408.2,6.1,10.000,0.019,-2.514,10.001,0.019,-2.517,34.8,2.7,0.1,-144.8,-131.2,-8.2,0.515,-0.000,-0.134,18.99,0.00,-7.40,9.79,0.00,0.99,33.49,13.54,2.37,1.44,0.00,0.02,1563.344,122.130,2.295,449.925,0.836,-113.242,0,0,0,0
3.419,30.428,-63.421,72.000,57.421,-63.411,70.322,77.346,-6.633,0.000,0.001,0.001,700.0,100.0,35.0,578.3,406.9,5.9,10.000,0.019,-2.517,10.001,0.019,-2.517,34.9,2.7,0.1,-145.4,-131.2,-8.2,0.515,-0.000,-0.134,18.99,0.00,-7.38,9.78,0.00,0.99,33.68,13.54,2.39,1.45,0.00,0.02,1572.296,122.130,2.344,449.925,0.837,-113.245,0,0,0,0
3.424,30.428,-63.421,72.000,57.288,-63.411,70.324,77.346,-6.638,0.000,0.001,0.001,700.0,100.0,35.0,579.3,405.5,5.8,10.000,0.019,-2.513,10.001,0.019,-2.508,35.1,2.7,0.1,-146.0,-131.2,-8.2,0.514,-0.000,-0.134,18.99,0.00,-7.39,9.77,0.00,0.99,33.88,13.54,2.41,1.45,0.00,0.02,1581.249,122.130,2.284,449.925,0.838,-112.825,0,0,0,0
3.451,30.428,-63.421,72.000,57.154,-63.411,70.322,77.346,-6.644,0.000,0.001,0.001,700.0,100.0,35.0,580.2,404.2,5.7,10.000,0.019,-2.516,10.001,0.019,-2.508,35.3,2.7,0.1,-146.7,-131.2,-8.2,0.514,-0.000,-0.134,18.99,0.00,-7.39,9.77,0.00,0.99,34.07,13.54,2.43,1.46,0.00,0.02,1590.201,122.130,2.333,449.925,0.838,-112.829,0,0,0,0
3.467,30.428,-63.421,72.000,57.020,-63.411,70.322,77.346,-6.650,0.000,0.030,0.023,700.0,100.0,35.0,581.2,402.8,5.5,10.000,0.019,-2.516,10.001,0.019,-2.508,35.5,2.7,0.1,-145.5,-129.1,-7.6,0.514,-0.000,-0.123,18.99,0.00,-7.37,9.76,0.00,0.99,34.27,13.54,2.45,1.47,0.00,0.02,1599.154,122.130,2.330,449.925,0.839,-112.826,0,0,0,0
3.497,30.428,-63.421,72.000,56.886,-63.411,70.323,77.346,-6.655,0.000,0.030,0.023,700.0,100.0,35.0,582.1,401.4,5.4,10.000,0.019,-2.516,10.001,0.019,-2.508,35.7,2.7,0.1,-147.9,-131.2,-8.3,0.513,-0.000,-0.123,18.99,0.00,-7.39,9.75,0.00,0.91,34.46,13.54,2.47,1.45,0.00,0.02,1608.107,122.130,2.322,449.925,0.840,-112.827,0,0,0,0
3.513,30.428,-63.421,72.000,56.751,-63.411,70.321,77.345,-6.661,0.000,0.030,0.023,700.0,100.0,35.0,583.1,400.1,5.3,10.000,0.019,-2.519,10.001,0.019,-2.508,35.9,2.7,0.1,-148.5,-131.3,-8.3,0.513,-0.000,0.011,18.99,0.00,-7.37,9.75,0.00,0.91,34.66,13.54,2.48,1.48,0.00,0.02,1617.060,122.131,2.370,449.925,0.840,-112.831,0,0,0,0
3.529,30.428,-63.421,72.000,56.617,-63.411,70.323,77.345,-6.667,0.000,0.030,0.023,700.0,100.0,35.0,584.0,398.7,5.1,10.000,0.019,-2.515,10.001,0.019,-2.508,36.1,2.7,0.1,-149.1,-131.3,-8.3,0.513,-0.000,0.011,18.99,0.00,-7.40,9.74,0.00,0.08,34.85,13.54,2.49,1.48,0.00,0.02,1626.013,122.131,2.310,449.926,0.841,-112.830,0,0,0,0
3.560,30.428,-63.421,72.000,56.482,-63.411,70.321,77.345,-6.672,0.000,0.030,0.023,700.0,100.0,35.0,584.9,397.3,5.0,10.000,0.019,-2.518,10.001,0.019,-2.508,36.3,2.7,0.1,-149.7,-131.3,-8.3,0.512,-0.000,0.011,18.99,0.00,-7.38,9.73,0.00,0.08,35.05,13.54,2.49,1.49,0.00,0.02,1634.967,122.131,2.359,449.926,0.842,-112.834,0,0,0,0
3.565,30.428,-63.421,72.000,56.348,-63.411,70.324,77.345,-6.678,0.000,0.030,0.023,700.0,100.0,35.0,585.9,396.0,4.9,10.000,0.019,-2.514,10.001,0.019,-2.507,36.5,2.7,0.1,-150.3,-131.3,-8.3,0.512,-0.000,0.011,18.99,0.00,-7.40,9.73,0.00,0.08,35.24,13.54,2.49,1.50,0.00,0.02,1643.921,122.131,2.299,449.926,0.842,-112.784,0,0,0,0
3.592,30.428,-63.421,72.000,56.213,-63.411,70.322,77.345,-6.684,0.000,0.030,0.023,700.0,100.0,35.0,586.8,394.6,4.7,10.000,0.019,-2.517,10.001,0.019,-2.507,36.7,2.7,0.1,-150.9,-131.3,-8.4,0.512,-0.000,0.011,18.99,0.00,-7.38,9.72,0.00,0.08,35.44,13.54,2.49,1.50,0.00,0.02,1652.875,122.131,2.348,449.926,0.843,-112.788,0,0,0,0
3.607,30.428,-63.421,72.000,56.078,-63.411,70.324,77.345,-6.690,0.000,0.030,0.023,700.0,100.0,35.0,587.7,393.2,4.6,10.000,0.019,-2.514,10.001,0.019,-2.501,36.9,2.7,0.1,-151.5,-131.3,-8.4,0.511,-0.000,0.011,18.99,0.00,-7.40,9.71,0.00,0.08,35.63,13.54,2.49,1.51,0.00,0.02,1661.830,122.131,2.287,449.926,0.844,-112.492,0,0,0,0
3.638,30.428,-63.421,72.000,55.943,-63.412,70.322,77.345,-6.696,0.000,0.030,0.023,700.0,100.0,35.0,588.6,391.8,4.5,10.000,0.018,-2.517,10.001,0.019,-2.501,37.1,2.7,0.1,-152.2,-131.3,-8.4,0.511,-0.000,0.011,18.99,0.00,-7.39,9.71,0.00,0.08,35.83,13.54,2.49,1.52,0.00,0.02,1670.785,122.131,2.336,449.926,0.844,-112.495,0,0,0,0
3.645,30.428,-63.421,72.000,55.808,-63.412,70.323,77.345,-6.702,0.000,0.056,0.043,700.0,100.0,35.0,589.6,390.4,4.3,10.000,0.018,-2.515,10.001,0.019,-2.503,37.3,2.7,0.1,-151.2,-129.4,-7.8,0.510,-0.000,0.020,18.99,0.00,-7.37,9.70,0.00,0.08,36.02,13.54,2.49,1.52,0.00,0.02,1679.740,122.131,2.309,449.926,0.843,-112.612,0,0,0,0
3.669,30.428,-63.421,72.000,55.673,-63.412,70.323,77.345,-6.708,0.000,0.056,0.043,700.0,100.0,35.0,590.5,389.0,4.2,10.000,0.018,-2.516,10.001,0.019,-2.503,37.5,2.7,0.1,-153.4,-131.3,-8.4,0.510,-0.000,0.020,18.99,0.00,-7.39,9.69,0.00,0.15,36.21,13.54,2.50,1.51,0.00,0.02,1688.695,122.131,2.325,449.926,0.843,-112.614,0,0,0,0
3.700,30.428,-63.421,72.000,55.537,-63.412,70.321,77.345,-6.714,0.000,-0.014,-0.010,700.0,100.0,35.0,591.4,387.6,4.1,10.000,0.018,-2.519,10.001,0.019,-2.529,37.7,2.7,0.1,-158.3,-136.5,-10.1,0.510,-0.000,-0.139,18.99,0.00,-7.37,9.68,0.00,0.15,36.41,13.54,2.50,1.53,0.00,0.02,1697.650,122.131,2.374,449.926,0.842,-113.754,0,0,0,0
3.705,30.428,-63.421,72.000,55.402,-63.412,70.323,77.345,-6.720,0.000,-0.014,-0.010,700.0,100.0,35.0,592.3,386.2,3.9,10.000,0.018,-2.515,10.001,0.019,-2.528,37.9,2.7,0.1,-154.6,-131.3,-8.5,0.509,-0.000,-0.139,18.99,0.00,-7.40,9.68,0.00,1.03,36.60,13.54,2.52,1.58,0.00,0.03,1706.606,122.131,2.314,449.926,0.841,-113.750,0,0,0,0
3.732,30.428,-63.421,72.000,55.266,-63.412,70.321,77.345,-6.726,0.000,-0.014,-0.010,700.0,100.0,35.0,593.2,384.8,3.8,10.000,0.018,-2.518,10.001,0.019,-2.529,38.1,2.7,0.1,-155.3,-131.3,-8.5,0.509,-0.000,-0.139,18.99,0.00,-7.37,9.67,0.00,1.03,36.79,13.54,2.54,1.55,0.00,0.02,1715.562,122.131,2.363,449.927,0.839,-113.754,0,0,0,0
3.748,30.428,-63.421,72.000,55.131,-63.412,70.324,77.345,-6.732,0.000,-0.014,-0.010,700.0,100.0,35.0,594.1,383.4,3.7,10.000,0.018,-2.514,10.001,0.019,-2.528,38.3,2.7,0.1,-155.9,-131.3,-8.5,0.509,-0.000,-0.139,18.98,0.00,-7.40,9.66,0.00,1.03,36.99,13.54,2.56,1.55,0.00,0.02,1724.518,122.131,2.303,449.927,0.838,-113.720,0,0,0,0
3.779,30.428,-63.421,72.000,54.995,-63.412,70.322,77.345,-6.738,0.000,-0.014,-0.010,700.0,100.0,35.0,595.0,382.0,3.5,10.000,0.018,-2.517,10.001,0.019,-2.528,38.5,2.7,0.1,-156.5,-131.3,-8.5,0.508,-0.000,-0.139,18.98,0.00,-7.38,9.66,0.00,1.03,37.18,13.54,2.58,1.56,0.00,0.02,1733.475,122.131,2.352,449.927,0.837,-113.724,0,0,0,0
3.784,30.428,-63.421,72.000,54.859,-63.412,70.324,77.345,-6.745,0.000,-0.014,-0.010,700.0,100.0,35.0,595.9,380.6,3.4,10.000,0.018,-2.514,10.001,0.019,-2.526,38.7,2.7,0.1,-157.2,-131.3,-8.5,0.508,-0.000,-0.139,18.98,0.00,-7.40,9.65,0.00,1.03,37.37,13.54,2.60,1.57,0.00,0.02,1742.431,122.131,2.291,449.927,0.835,-113.640,0,0,0,0
3.809,30.428,-63.421,72.000,54.722,-63.412,70.322,77.345,-6.751,0.000,-0.014,-0.010,700.0,100.0,35.0,596.8,379.2,3.2,10.000,0.018,-2.517,10.001,0.019,-2.526,38.9,2.7,0.1,-157.8,-131.3,-8.5,0.508,-0.000,-0.139,18.98,0.00,-7.39,9.64,0.00,1.03,37.57,13.54,2.62,1.57,0.00,0.02,1751.388,122.131,2.341,449.927,0.833,-113.643,0,0,0,0
3.825,30.428,-63.421,72.000,54.586,-63.412,70.325,77.345,-6.757,0.000,-0.003,-0.002,700.0,100.0,35.0,597.8,377.8,3.1,10.000,0.018,-2.513,10.001,0.018,-2.521,39.1,2.7,0.1,-157.2,-129.9,-8.1,0.507,-0.000,-0.135,18.98,0.00,-7.38,9.64,0.00,1.03,37.76,13.54,2.64,1.58,0.00,0.02,1760.346,122.131,2.285,449.927,0.832,-113.398,0,0,0,0
3.855,30.428,-63.421,72.000,54.450,-63.412,70.323,77.345,-6.764,0.000,-0.003,-0.002,700.0,100.0,35.0,598.6,376.3,3.0,10.000,0.018,-2.516,10.001,0.018,-2.521,39.3,2.7,0.1,-159.1,-131.3,-8.6,0.507,-0.000,-0.135,18.98,0.00,-7.39,9.63,0.00,1.00,37.95,13.54,2.66,1.57,0.00,0.02,1769.303,122.131,2.329,449.927,0.830,-113.399,0,0,0,0
3.871,30.428,-63.421,72.000,54.313,-63.412,70.321,77.345,-6.770,0.000,0.015,0.011,700.0,100.0,35.0,599.5,374.9,2.8,10.000,0.018,-2.518,10.001,0.018,-2.517,39.5,2.7,0.1,-157.6,-128.9,-7.8,0.507,-0.000,-0.129,18.98,0.00,-7.37,9.62,0.00,1.00,38.14,13.54,2.68,1.59,0.00,0.02,1778.261,122.131,2.360,449.927,0.828,-113.239,0,0,0,0
3.886,30.428,-63.421,72.000,54.176,-63.412,70.323,77.345,-6.776,0.000,0.015,0.011,700.0,100.0,35.0,600.4,373.5,2.7,10.000,0.018,-2.515,10.001,0.018,-2.517,39.7,2.7,0.1,-160.3,-131.3,-8.6,0.506,-0.000,-0.129,18.98,0.00,-7.40,9.61,0.00,0.95,38.34,13.54,2.70,1.58,0.00,0.02,1787.219,122.132,2.318,449.927,0.827,-113.239,0,0,0,0
3.918,30.428,-63.421,72.000,54.040,-63.412,70.321,77.345,-6.783,0.000,0.015,0.011,700.0,100.0,35.0,601.3,372.0,2.6,10.000,0.018,-2.518,10.001,0.018,-2.517,39.9,2.7,0.1,-161.0,-131.3,-8.6,0.506,-0.000,-0.129,18.98,0.00,-7.37,9.61,0.00,0.95,38.53,13.54,2.72,1.60,0.00,0.02,1796.177,122.132,2.367,449.928,0.825,-113.241,0,0,0,0
3.933,30.428,-63.421,72.000,53.903,-63.412,70.324,77.345,-6.789,0.000,0.015,0.011,700.0,100.0,35.0,602.2,370.6,2.4,10.000,0.018,-2.515,10.001,0.018,-2.517,40.1,2.7,0.1,-161.6,-131.3,-8.6,0.505,-0.000,-0.129,18.98,0.00,-7.40,9.60,0.00,0.95,38.72,13.54,2.74,1.61,0.00,0.02,1805.136,122.132,2.307,449.928,0.823,-113.223,0,0,0,0
3.949,30.428,-63.421,72.000,53.766,-63.412,70.322,77.345,-6.796,0.000,0.014,0.011,700.0,100.0,35.0,603.1,369.2,2.3,10.000,0.018,-2.518,10.001,0.018,-2.517,40.3,2.7,0.1,-162.2,-131.3,-8.7,0.505,-0.000,-0.129,18.98,0.00,-7.38,9.59,0.00,0.95,38.91,13.54,2.76,1.62,0.00,0.02,1814.094,122.132,2.356,449.928,0.821,-113.224,0,0,0,0
3.980,30.428,-63.421,72.000,53.628,-63.412,70.324,77.345,-6.803,0.000,0.014,0.011,700.0,100.0,35.0,604.0,367.7,2.2,10.000,0.018,-2.514,10.001,0.018,-2.516,40.5,2.7,0.1,-162.9,-131.3,-8.7,0.505,-0.000,-0.129,18.98,0.00,-7.40,9.59,0.00,0.95,39.10,13.54,2.78,1.62,0.00,0.02,1823.054,122.132,2.296,449.928,0.819,-113.182,0,0,0,0
3.986,30.428,-63.421,72.000,53.491,-63.412,70.322,77.345,-6.809,0.000,0.014,0.011,700.0,100.0,35.0,604.9,366.3,2.0,10.000,0.018,-2.517,10.001,0.018,-2.516,40.7,2.7,0.1,-163.5,-131.3,-8.7,0.504,-0.000,-0.129,18.98,0.00,-7.38,9.58,0.00,0.95,39.30,13.54,2.80,1.63,0.00,0.02,1832.013,122.132,2.345,449.928,0.818,-113.183,0,0,0,0
4.011,30.428,-63.421,72.000,53.353,-63.412,70.325,77.345,-6.816,0.000,0.014,0.011,700.0,100.0,35.0,605.7,364.8,1.9,10.000,0.018,-2.513,10.001,0.018,-2.510,40.9,2.7,0.1,-164.2,-131.3,-8.7,0.504,-0.000,-0.129,18.98,0.00,-7.39,9.57,0.00,0.95,39.49,13.54,2.82,1.64,0.00,0.02,1840.972,122.132,2.285,449.928,0.816,-112.937,0,0,0,0
4.027,30.428,-63.421,72.000,53.216,-63.412,70.323,77.345,-6.823,0.000,0.014,0.011,700.0,100.0,35.0,606.6,363.4,1.7,10.000,0.018,-2.516,10.001,0.018,-2.510,41.1,2.7,0.1,-164.8,-131.3,-8.7,0.504,-0.000,-0.129,18.98,0.00,-7.39,9.56,0.00,0.95,39.68,13.54,2.84,1.64,0.00,0.02,1849.932,122.132,2.334,449.928,0.815,-112.938,0,0,0,0
4.058,30.428,-63.421,72.000,53.078,-63.412,70.324,77.345,-6.829,0.000,0.014,0.011,700.0,100.0,35.0,607.5,361.9,1.6,10.000,0.018,-2.514,10.001,0.018,-2.510,41.3,2.7,0.1,-163.9,-129.4,-8.1,0.503,-0.000,-0.129,18.98,0.00,-7.38,9.56,0.00,0.95,39.87,13.54,2.86,1.65,0.00,0.02,1858.892,122.132,2.307,449.928,0.814,-112.939,0,0,0,0
4.064,30.428,-63.421,72.000,52.940,-63.412,70.323,77.345,-6.836,0.000,0.014,0.011,700.0,100.0,35.0,608.4,360.4,1.5,10.000,0.018,-2.515,10.001,0.018,-2.510,41.5,2.7,0.1,-166.1,-131.3,-8.7,0.503,-0.000,-0.129,18.98,0.00,-7.39,9.55,0.00,0.95,40.06,13.54,2.88,1.64,0.00,0.02,1867.853,122.132,2.323,449.929,0.813,-112.940,0,0,0,0
4.089,30.428,-63.421,72.000,52.802,-63.412,70.321,77.345,-6.843,0.000,0.014,0.011,700.0,100.0,35.0,609.2,359.0,1.3,10.000,0.018,-2.518,10.001,0.018,-2.510,41.7,2.7,0.1,-166.8,-131.3,-8.8,0.502,-0.000,0.005,18.98,0.00,-7.37,9.54,0.00,0.95,40.25,13.54,2.89,1.66,0.00,0.02,1876.813,122.132,2.372,449.929,0.813,-112.941,0,0,0,0
4.105,30.428,-63.421,72.000,52.663,-63.412,70.324,77.345,-6.850,0.000,0.014,0.011,700.0,100.0,35.0,610.1,357.5,1.2,10.000,0.018,-2.515,10.001,0.018,-2.510,41.9,2.7,0.1,-167.4,-131.3,-8.8,0.502,-0.000,0.005,18.98,0.00,-7.40,9.54,0.00,0.04,40.44,13.54,2.90,1.67,0.00,0.02,1885.774,122.132,2.312,449.929,0.813,-112.936,0,0,0,0
4.137,30.428,-63.421,72.000,52.525,-63.412,70.321,77.345,-6.857,0.000,0.014,0.011,700.0,100.0,35.0,611.0,356.0,1.0,10.000,0.018,-2.518,10.001,0.018,-2.510,42.1,2.7,0.1,-168.1,-131.3,-8.8,0.502,-0.000,0.005,18.98,0.00,-7.38,9.53,0.00,0.04,40.63,13.54,2.90,1.67,0.00,0.02,1894.735,122.132,2.361,449.929,0.813,-112.936,0,0,0,0
4.153,30.428,-63.421,72.000,52.386,-63.412,70.324,77.345,-6.864,0.000,0.014,0.011,700.0,100.0,35.0,611.8,354.5,0.9,10.000,0.018,-2.514,10.001,0.018,-2.510,42.3,2.7,0.1,-168.7,-131.2,-8.8,0.501,-0.000,0.005,18.98,0.00,-7.40,9.52,0.00,0.04,40.82,13.54,2.90,1.68,0.00,0.02,1903.697,122.132,2.302,449.929,0.813,-112.937,0,0,0,0
4.168,30.428,-63.421,72.000,52.248,-63.412,70.322,77.345,-6.871,0.000,0.014,0.011,700.0,100.0,35.0,612.7,353.1,0.8,10.000,0.018,-2.517,10.001,0.018,-2.510,42.5,2.7,0.1,-169.4,-131.2,-8.8,0.501,-0.000,0.005,18.98,0.00,-7.38,9.51,0.00,0.04,41.01,13.54,2.90,1.69,0.00,0.02,1912.658,122.132,2.351,449.929,0.814,-112.937,0,0,0,0
4.199,30.428,-63.421,72.000,52.109,-63.412,70.324,77.345,-6.878,0.000,0.014,0.011,700.0,100.0,35.0,613.5,351.6,0.6,10.000,0.018,-2.513,10.001,0.018,-2.508,42.7,2.7,0.1,-170.0,-131.2,-8.8,0.501,-0.000,0.005,18.98,0.00,-7.40,9.51,0.00,0.04,41.20,13.54,2.90,1.69,0.00,0.02,1921.620,122.132,2.291,449.929,0.814,-112.813,0,0,0,0
