Temps (s);Angle moteur (°);Angle vantail (°);Couple moteur (Nm);Couple vantail (Nm)
0,213548;16,20000076;0,99000001;198;272
0,214332;16,20000076;0,99000001;198;275
0,215116;16,20000076;1,320000052;197;274
0,215904;16,60000038;0,660000026;199;274
0,216684;16,60000038;0,330000013;200;274
0,217468;16,39999962;0,99000001;198;274
0,218252;16;0,99000001;198;272
0,21904;16,20000076;2,309999943;196;273
0,21982;16,20000076;1,320000052;197;275
0,220604;16,60000038;1,320000052;199;275
0,221396;16,20000076;1,320000052;198;272
0,22218;16,39999962;1,649999976;198;273
0,222964;16,20000076;1,320000052;197;274
0,223748;16,60000038;0,99000001;199;274
0,224532;16,60000038;0,660000026;197;272
0,225324;16,20000076;0,99000001;196;273
0,226112;16,20000076;0,99000001;197;273
0,226892;16,39999962;0,99000001;198;271
0,227684;16,60000038;0,99000001;196;273
0,228468;16,20000076;0,99000001;198;275
0,229256;16,20000076;0,99000001;199;274
0,230036;16,60000038;0,660000026;197;274
0,23082;16,60000038;0,99000001;199;272
0,231612;16,20000076;1,649999976;198;272
0,232396;16,20000076;1,320000052;198;274
0,23318;16,39999962;1,320000052;199;274
0,233964;16,39999962;1,320000052;201;273
0,234748;16,60000038;0,99000001;200;273
0,235532;16;0,99000001;198;273
0,236316;16,20000076;0,99000001;198;273
0,2371;16,20000076;0,99000001;197;274
0,237884;16,20000076;0,99000001;199;278
0,238668;16,60000038;0,660000026;197;274
0,239456;16,60000038;1,320000052;199;274
0,240236;16,39999962;1,320000052;200;272
0,24102;16,20000076;1,320000052;200;273
0,241804;16,20000076;1,649999976;197;273
0,242592;15,80000019;0,99000001;197;274
0,243372;16,39999962;0,99000001;199;274
0,244156;16,60000038;0,660000026;198;269
0,244948;16,20000076;1,320000052;197;271
0,245732;16,20000076;1,320000052;197;274
0,246516;16,60000038;0,660000026;197;274
0,2473;16,39999962;1,320000052;199;272
0,248084;16,39999962;0,99000001;199;275
0,248876;16,20000076;0,99000001;199;273
0,249664;16,39999962;1,320000052;197;274
0,250444;16,79999924;0,99000001;198;272
0,251236;16,20000076;1,320000052;198;280
0,25202;16,20000076;1,320000052;199;273
0,252808;16,60000038;0,660000026;197;275
0,253588;16,60000038;1,320000052;200;272
0,254372;16,39999962;0,99000001;198;274
0,255164;16,20000076;0,99000001;198;275
0,255948;16,39999962;1,320000052;199;274
0,256732;16,39999962;0,660000026;197;274
0,257516;16,39999962;0,99000001;199;272
0,2583;16,60000038;0,99000001;198;273
0,259084;16,20000076;0,99000001;196;273
0,259868;16,20000076;1,980000019;198;273
0,260652;16,20000076;1,320000052;196;274
0,261436;16,60000038;0,660000026;199;273
0,26222;16,60000038;0,99000001;200;273
0,263008;16,39999962;1,320000052;199;272
0,263788;16,20000076;1,320000052;198;271
0,264572;16,20000076;0,99000001;198;273
0,265356;16,20000076;1,320000052;196;273
0,266144;16,39999962;0,99000001;197;274
0,266924;16,60000038;0,660000026;197;274
0,267708;16,39999962;0,330000013;196;273
0,2685;16,20000076;0,99000001;194;272
0,269284;16,39999962;0,660000026;197;274
0,270068;16,60000038;0,660000026;197;273
0,270852;16,39999962;0,99000001;200;274
0,271636;16,39999962;1,649999976;200;274
0,272428;16,39999962;0,660000026;201;275
0,273216;16,60000038;1,320000052;197;270
0,273996;16,39999962;0,99000001;198;273
0,274788;16,20000076;1,980000019;196;274
0,275572;16,20000076;0,660000026;197;275
0,27636;16,60000038;0;199;274
0,27714;16,60000038;0,99000001;198;274
0,277924;16,39999962;0,99000001;199;273
0,278716;16,20000076;0,99000001;197;274
0,2795;16,60000038;0,660000026;198;274
0,280284;16,60000038;1,320000052;200;273
0,281068;16,39999962;0,330000013;198;274
0,281852;16,20000076;0,99000001;198;272
0,282636;16,20000076;1,320000052;198;273
0,28342;16,60000038;0,99000001;196;273
0,284204;16,60000038;0,660000026;197;274
0,284988;16,60000038;0,660000026;198;274
0,285772;16,39999962;1,320000052;198;272
0,28656;16,20000076;1,320000052;198;271
0,28734;16,20000076;1,649999976;196;272
0,288124;16,20000076;1,320000052;196;273
0,288908;16,20000076;0,99000001;197;274
0,289696;16,60000038;0,660000026;199;274
0,290476;16,60000038;0,99000001;199;272
0,29126;16,39999962;0,99000001;198;274
0,292052;16,20000076;1,320000052;196;274
0,292836;16,60000038;1,320000052;199;274
0,29362;16,60000038;0,99000001;199;274
0,294404;16,39999962;1,320000052;198;273
0,295188;16,20000076;0,99000001;208;275
0,29598;16,60000038;0,660000026;199;274
0,296768;16;0,660000026;201;272
0,297548;16,39999962;1,320000052;198;274
0,29834;16,20000076;0,99000001;197;274
0,299124;16,60000038;0,99000001;191;274
0,299912;16,60000038;0,99000001;200;273
0,300692;16,39999962;1,320000052;199;273
0,301476;16,20000076;1,649999976;197;275
0,302268;16,60000038;0,660000026;197;274
0,303052;16,60000038;0,660000026;197;273
0,303836;16,39999962;1,320000052;198;273
0,30462;16,20000076;0,99000001;198;273
0,305404;16,20000076;1,649999976;198;273
0,306188;16,20000076;0,99000001;194;273
0,306972;16,60000038;0,660000026;197;280
0,307756;16,60000038;0,660000026;199;274
0,30854;16,39999962;0,99000001;197;273
0,309324;16,20000076;0,99000001;199;271
0,310112;16;1,320000052;198;273
0,310892;15,80000019;1,649999976;197;273
0,311676;16,20000076;0,99000001;199;275
0,31246;16,60000038;0,660000026;197;274
0,313248;16,60000038;0,660000026;199;274
0,314028;16,39999962;0,99000001;200;272
0,314812;16,20000076;0,99000001;197;274
0,315604;16,60000038;0,99000001;199;275
0,316388;16,60000038;0,99000001;200;274
0,317172;16,39999962;0,99000001;199;276
0,317956;16;0,99000001;200;273
0,31874;16;0,99000001;198;274
0,319532;16,79999924;0,99000001;200;272
0,32032;16,39999962;1,320000052;198;274
0,3211;16,20000076;0,660000026;197;273
0,321892;16,60000038;0,660000026;198;274
0,322676;16,60000038;1,320000052;195;274
0,323464;16,39999962;1,320000052;198;273
0,324244;16,20000076;0,99000001;195;272
0,325028;16,20000076;0,99000001;197;274
0,32582;16,60000038;1,320000052;190;272
0,326604;16,39999962;0,99000001;196;278
0,327388;16,20000076;0,99000001;198;271
0,328172;16,20000076;1,649999976;197;273
0,328956;16,20000076;0,99000001;197;274
0,32974;16,39999962;0,660000026;197;279
0,330524;16,60000038;0,660000026;199;274
0,331308;16,60000038;0,99000001;200;272
0,332092;16;0,99000001;206;274
0,332876;16,20000076;0,99000001;198;273
0,333664;16,20000076;0,99000001;197;274
0,334444;16,20000076;0,99000001;197;275
0,335228;16,60000038;0,660000026;197;274
0,336012;16,60000038;0,99000001;200;274
0,3368;16,39999962;1,320000052;200;273
0,33758;16,20000076;1,649999976;198;273
0,338364;16,20000076;0,99000001;197;274
0,339156;16,60000038;0,660000026;200;272
0,33994;16,39999962;1,320000052;200;274
0,340724;16,20000076;1,320000052;198;273
0,341508;16,20000076;1,649999976;197;273
0,342292;16,20000076;1,320000052;197;273
0,343084;16,39999962;0,99000001;198;276
0,343872;16,20000076;0,330000013;198;272
0,344652;16,20000076;0,660000026;197;274
0,345444;16,60000038;0,99000001;207;272
0,346228;16,39999962;0,99000001;198;272
0,347016;16;0,99000001;198;272
0,347796;16,20000076;1,320000052;198;273
0,34858;16,39999962;0,99000001;198;272
0,349372;16,39999962;0,99000001;200;274
0,350156;16,20000076;0,99000001;198;272
0,35094;16,20000076;1,649999976;198;273
0,351724;16,20000076;1,320000052;197;275
0,352508;16,60000038;0,660000026;199;274
0,353292;16,60000038;1,320000052;198;268
0,354076;16,20000076;0,99000001;200;272
0,35486;16;0,99000001;198;273
0,355644;16,20000076;1,320000052;198;273
0,356428;16,20000076;0,99000001;199;274
0,357216;16,20000076;1,320000052;197;275
0,357996;16,60000038;0,660000026;197;274
0,35878;16;1,320000052;199;272
0,359564;16;0,99000001;199;272
0,360352;16,39999962;1,649999976;198;273
0,361132;16,20000076;1,649999976;196;273
0,361916;16,20000076;1,320000052;193;272
0,362708;16,39999962;0,99000001;200;284
0,363492;16,20000076;0,99000001;198;273
0,364276;16,20000076;1,649999976;196;273
0,36506;16,20000076;0,99000001;198;274
0,365844;16,20000076;0,99000001;197;273
0,366636;16,20000076;0,99000001;198;273
0,367424;15,60000038;0,99000001;196;273
0,368204;16,20000076;1,320000052;199;272
0,368996;16,39999962;0,99000001;196;273
0,36978;16,20000076;1,320000052;198;273
0,370568;15,80000019;0,99000001;197;273
0,371348;16,20000076;0,99000001;197;273
0,372132;16,39999962;0,660000026;198;276
0,372924;16,20000076;0,99000001;199;273
0,373708;16,20000076;1,320000052;197;273
0,374492;16,20000076;0,99000001;196;274
0,375276;16,20000076;0,660000026;199;274
0,37606;16,60000038;0,660000026;197;274
0,376844;16,60000038;0,330000013;200;272
0,377628;16,20000076;0,99000001;199;274
0,378412;16,20000076;0,99000001;198;273
0,379196;16,20000076;1,980000019;197;273
0,37998;16,20000076;1,320000052;199;274
0,380768;16,60000038;0,99000001;197;274
0,381548;16,60000038;0,660000026;200;274
0,382332;16,60000038;1,320000052;198;272
0,383116;16,20000076;0,99000001;198;273
0,383904;16,20000076;1,649999976;198;273
0,384684;16,20000076;0,99000001;193;273
0,385468;16,39999962;0,99000001;198;272
0,38626;16;0,99000001;198;271
0,387044;16,20000076;1,649999976;198;271
0,387828;16,20000076;0,99000001;197;272
0,388612;16,20000076;0,660000026;199;274
0,389396;16,60000038;0,660000026;199;272
0,390188;16,20000076;1,649999976;198;273
0,390976;16,20000076;0,99000001;197;273
0,391756;16,60000038;1,320000052;200;272
0,392548;16;0,99000001;199;273
0,393332;16,20000076;0,99000001;198;273
0,39412;16,20000076;0,99000001;199;274
0,3949;16,20000076;0,660000026;199;275
0,395684;16,60000038;0,660000026;198;273
0,396476;16,20000076;0,99000001;198;273
0,39726;16,20000076;0,99000001;198;273
0,398044;16,20000076;0,99000001;197;274
0,398828;16,60000038;0,660000026;197;274
0,399612;16,60000038;0,660000026;200;273
0,400396;16,39999962;1,320000052;200;274
0,40118;16,20000076;1,320000052;198;272
0,401964;16,20000076;0,99000001;196;273
0,402748;16,20000076;0,99000001;196;275
0,403532;16,60000038;0,660000026;197;273
0,40432;16,60000038;0,660000026;200;274
0,4051;16,39999962;0,99000001;198;272
0,405884;16,39999962;0,330000013;198;272
0,406668;16,20000076;0,99000001;198;272
0,407456;16,20000076;0,99000001;197;271
0,408236;16,20000076;0,99000001;203;274
0,40902;16,60000038;0,660000026;196;269
0,409812;16,39999962;0,99000001;198;271
0,410596;16,20000076;1,649999976;197;274
0,41138;16,20000076;0,99000001;197;274
0,412164;16,60000038;0,660000026;197;274
0,412948;16,60000038;1,320000052;197;273
0,41374;16,20000076;1,649999976;198;273
0,414528;16,20000076;1,320000052;199;274
0,415308;15,80000019;0,99000001;202;270
0,4161;16,20000076;1,649999976;198;273
0,416884;16,20000076;1,649999976;197;274
0,417672;16,20000076;1,320000052;199;273
0,418452;16,20000076;0,660000026;197;274
0,419236;16,60000038;1,320000052;198;273
0,420028;16,20000076;1,649999976;198;273
0,420812;16,20000076;1,320000052;199;274
0,421596;16,60000038;0,660000026;197;274
0,42238;16,60000038;1,320000052;198;272
0,423164;16,60000038;0,99000001;200;274
0,423948;16,20000076;0,99000001;198;272
0,424732;16,20000076;0,99000001;198;273
0,425516;16,20000076;0,99000001;196;273
0,4263;17;0,660000026;196;282
