Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
3.067,66.277,-85.583,72.000,67.452,-85.501,70.322,77.345,-4.490,-0.533,-0.007,-0.005,492.3,376.9,35.0,484.6,387.3,-6.1,7.052,0.164,-2.516,6.985,0.270,-2.528,19.6,15.2,0.1,-102.5,-110.5,-9.5,0.530,0.496,-0.271,14.30,4.10,-7.39,7.58,2.04,2.01,20.40,7.27,2.41,0.71,0.03,0.02,881.764,684.550,2.343,314.259,12.135,-113.727,0,0,0,0
3.082,66.185,-85.585,72.000,67.361,-85.508,70.325,77.346,-4.495,-0.514,-0.029,-0.023,492.9,376.1,35.0,485.2,386.5,-6.2,7.057,0.154,-2.513,6.992,0.260,-2.524,19.7,15.2,0.1,-102.9,-110.4,-9.5,0.530,0.496,-0.279,14.30,4.09,-7.39,7.58,2.03,2.00,20.55,7.31,2.45,0.72,0.03,0.02,888.173,684.739,2.283,314.541,11.691,-113.541,0,0,0,0
3.098,66.093,-85.586,72.000,67.270,-85.514,70.323,77.346,-4.501,-0.495,-0.029,-0.023,493.5,375.3,35.0,485.8,385.7,-6.3,7.063,0.144,-2.516,6.998,0.250,-2.524,19.9,15.2,0.1,-103.2,-110.4,-9.5,0.530,0.496,-0.279,14.31,4.08,-7.39,7.58,2.03,2.06,20.70,7.35,2.49,0.72,0.03,0.02,894.587,684.917,2.333,314.820,11.249,-113.538,0,0,0,0
3.130,66.001,-85.588,72.000,67.179,-85.521,70.323,77.346,-4.507,-0.477,-0.015,-0.011,494.1,374.5,35.0,486.4,384.9,-6.4,7.068,0.134,-2.516,7.004,0.240,-2.513,20.0,15.2,0.1,-102.1,-108.6,-8.9,0.530,0.496,-0.140,14.32,4.07,-7.37,7.59,2.03,2.06,20.85,7.39,2.53,0.72,0.03,0.02,901.007,685.085,2.331,315.096,10.807,-113.045,0,0,0,0
3.137,65.909,-85.589,72.000,67.088,-85.526,70.323,77.346,-4.512,-0.458,-0.015,-0.012,494.7,373.7,35.0,487.0,384.1,-6.5,7.074,0.125,-2.515,7.010,0.230,-2.513,20.2,15.2,0.1,-103.9,-110.3,-9.6,0.530,0.496,-0.140,14.33,4.06,-7.40,7.59,2.02,1.03,21.01,7.43,2.55,0.71,0.03,0.02,907.432,685.243,2.323,315.370,10.365,-113.046,0,0,0,0
3.162,65.817,-85.589,72.000,66.996,-85.532,70.321,77.345,-4.518,-0.439,-0.015,-0.012,495.3,372.9,35.0,487.6,383.3,-6.6,7.079,0.115,-2.518,7.016,0.221,-2.513,20.3,15.2,0.1,-104.3,-110.3,-9.6,0.529,0.496,-0.140,14.34,4.06,-7.37,7.59,2.02,1.03,21.16,7.47,2.58,0.73,0.03,0.02,913.862,685.391,2.372,315.641,9.923,-113.043,0,0,0,0
3.178,65.724,-85.590,72.000,66.905,-85.537,70.324,77.346,-4.524,-0.421,-0.015,-0.012,495.9,372.1,35.0,488.2,382.5,-6.7,7.084,0.105,-2.514,7.022,0.211,-2.513,20.5,15.2,0.1,-104.7,-110.3,-9.6,0.529,0.496,-0.140,14.35,4.05,-7.40,7.59,2.01,1.03,21.31,7.51,2.60,0.73,0.02,0.02,920.298,685.529,2.313,315.909,9.482,-113.075,0,0,0,0
3.208,65.632,-85.589,72.000,66.813,-85.542,70.322,77.345,-4.529,-0.402,-0.015,-0.012,496.5,371.3,35.0,488.8,381.7,-6.8,7.090,0.096,-2.518,7.028,0.201,-2.513,20.6,15.2,0.1,-105.0,-110.2,-9.6,0.529,0.496,-0.140,14.36,4.04,-7.38,7.60,2.01,1.03,21.46,7.55,2.62,0.73,0.02,0.02,926.738,685.657,2.363,316.175,9.041,-113.072,0,0,0,0
3.214,65.539,-85.589,72.000,66.722,-85.546,70.324,77.346,-4.535,-0.384,-0.015,-0.012,497.1,370.5,35.0,489.4,380.9,-6.9,7.095,0.086,-2.514,7.034,0.191,-2.516,20.7,15.2,0.1,-105.4,-110.2,-9.6,0.529,0.496,-0.140,14.37,4.03,-7.40,7.60,2.00,1.03,21.61,7.59,2.64,0.74,0.02,0.02,933.184,685.775,2.303,316.438,8.600,-113.206,0,0,0,0
3.239,65.447,-85.588,72.000,66.630,-85.550,70.322,77.345,-4.540,-0.365,-0.015,-0.011,497.7,369.7,35.0,490.0,380.1,-7.0,7.100,0.076,-2.517,7.040,0.181,-2.516,20.9,15.2,0.1,-105.7,-110.2,-9.6,0.529,0.496,-0.140,14.38,4.02,-7.38,7.60,2.00,1.03,21.77,7.63,2.66,0.74,0.02,0.02,939.634,685.883,2.353,316.699,8.160,-113.204,0,0,0,0
3.255,65.354,-85.587,72.000,66.538,-85.553,70.325,77.346,-4.546,-0.346,-0.015,-0.011,498.3,368.9,35.0,490.6,379.3,-7.1,7.105,0.066,-2.513,7.045,0.172,-2.528,21.0,15.2,0.1,-106.1,-110.1,-9.6,0.528,0.496,-0.140,14.39,4.01,-7.40,7.60,1.99,1.03,21.92,7.67,2.68,0.74,0.02,0.02,946.090,685.981,2.293,316.956,7.720,-113.748,0,0,0,0
3.286,65.261,-85.585,72.000,66.446,-85.557,70.322,77.346,-4.551,-0.328,-0.015,-0.011,498.9,368.1,35.0,491.2,378.5,-7.2,7.110,0.057,-2.516,7.051,0.162,-2.528,21.2,15.3,0.1,-106.5,-110.1,-9.6,0.528,0.496,-0.140,14.40,4.00,-7.39,7.60,1.99,1.03,22.07,7.71,2.70,0.75,0.02,0.02,952.551,686.068,2.343,317.211,7.280,-113.746,0,0,0,0
3.301,65.168,-85.583,72.000,66.354,-85.560,70.325,77.346,-4.557,-0.309,-0.051,-0.039,499.5,367.3,35.0,491.8,377.6,-7.3,7.115,0.047,-2.513,7.057,0.152,-2.523,21.3,15.3,0.1,-106.8,-110.1,-9.6,0.528,0.496,-0.153,14.41,3.99,-7.39,7.60,1.98,1.03,22.22,7.75,2.72,0.75,0.02,0.02,959.016,686.145,2.283,317.464,6.840,-113.525,0,0,0,0
3.317,65.075,-85.581,72.000,66.262,-85.562,70.323,77.346,-4.562,-0.290,-0.051,-0.039,500.1,366.5,35.0,492.4,376.8,-7.4,7.120,0.038,-2.516,7.062,0.142,-2.523,21.5,15.3,0.1,-107.2,-110.1,-9.6,0.528,0.496,-0.153,14.42,3.98,-7.39,7.61,1.98,1.13,22.37,7.79,2.74,0.75,0.02,0.02,965.487,686.210,2.333,317.714,6.398,-113.524,0,0,0,0
3.349,64.982,-85.578,72.000,66.169,-85.564,70.323,77.346,-4.568,-0.271,0.001,0.000,500.7,365.7,35.0,493.0,376.0,-7.5,7.125,0.028,-2.515,7.068,0.132,-2.502,21.6,15.3,0.1,-106.0,-108.2,-9.0,0.528,0.496,0.000,14.42,3.97,-7.37,7.61,1.97,1.13,22.53,7.83,2.77,0.76,0.02,0.02,971.962,686.263,2.331,317.961,5.957,-112.546,0,0,0,0
3.356,64.889,-85.575,72.000,66.077,-85.565,70.323,77.346,-4.573,-0.252,0.001,0.000,501.3,364.9,35.0,493.6,375.2,-7.6,7.130,0.019,-2.515,7.073,0.123,-2.502,21.7,15.3,0.1,-107.9,-110.0,-9.7,0.527,0.496,0.000,14.43,3.96,-7.40,7.61,1.97,0.00,22.68,7.87,2.77,0.75,0.01,0.02,978.442,686.304,2.323,318.206,5.515,-112.552,0,0,0,0
3.381,64.795,-85.571,72.000,65.984,-85.567,70.321,77.346,-4.579,-0.233,0.001,0.000,501.9,364.1,35.0,494.2,374.4,-7.7,7.134,0.010,-2.518,7.079,0.113,-2.502,21.9,15.3,0.1,-108.3,-110.0,-9.7,0.527,0.496,0.000,14.44,3.95,-7.37,7.61,1.96,0.00,22.83,7.91,2.77,0.76,0.01,0.02,984.926,686.335,2.372,318.448,5.073,-112.548,0,0,0,0
3.397,64.702,-85.568,72.000,65.892,-85.567,70.324,77.346,-4.584,-0.214,0.001,0.000,502.5,363.3,35.0,494.9,373.6,-7.7,7.139,0.001,-2.514,7.084,0.103,-2.502,22.0,15.3,0.1,-108.6,-109.9,-9.7,0.527,0.495,0.000,14.45,3.94,-7.40,7.61,1.96,0.00,22.98,7.95,2.77,0.77,0.01,0.02,991.415,686.355,2.313,318.688,4.633,-112.579,0,0,0,0
3.429,64.608,-85.563,72.000,65.799,-85.568,70.322,77.346,-4.589,-0.194,0.001,0.000,503.1,362.5,35.0,495.5,372.8,-7.8,7.144,-0.008,-2.517,7.089,0.110,-2.502,22.2,15.3,0.1,-109.0,-109.8,-9.7,0.527,0.494,0.000,14.46,3.91,-7.38,7.61,1.95,0.00,23.13,7.99,2.77,0.77,0.01,0.02,997.909,686.363,2.362,318.924,4.935,-112.575,0,0,0,0
3.435,64.515,-85.559,72.000,65.706,-85.568,70.324,77.346,-4.595,-0.175,0.001,0.000,503.7,361.7,35.0,496.1,372.0,-7.9,7.148,-0.017,-2.514,7.094,0.116,-2.505,22.3,15.3,0.1,-109.3,-109.8,-9.7,0.527,0.489,0.000,14.46,3.82,-7.40,7.61,1.93,0.00,23.29,8.03,2.77,0.77,0.01,0.02,1004.407,686.363,2.303,319.159,5.223,-112.709,0,0,0,0
3.461,64.421,-85.554,72.000,65.613,-85.568,70.322,77.346,-4.600,-0.157,0.001,0.000,504.3,360.9,35.0,496.7,371.2,-8.0,7.153,-0.027,-2.518,7.100,0.122,-2.505,22.5,15.3,0.1,-109.7,-109.8,-9.7,0.526,0.479,0.000,14.47,3.72,-7.38,7.62,1.87,0.00,23.44,8.07,2.77,0.78,0.01,0.02,1010.910,686.362,2.352,319.390,5.471,-112.706,0,0,0,0
3.477,64.327,-85.549,72.000,65.520,-85.567,70.324,77.346,-4.605,-0.140,0.001,0.000,504.9,360.1,35.0,497.3,370.4,-8.1,7.157,-0.038,-2.514,7.105,0.126,-2.525,22.6,15.3,0.1,-110.1,-109.7,-9.7,0.526,0.464,0.000,14.48,3.62,-7.40,7.62,1.78,0.00,23.59,8.10,2.77,0.78,0.01,0.02,1017.417,686.361,2.293,319.619,5.676,-113.602,0,0,0,0
3.507,64.233,-85.543,72.000,65.427,-85.567,70.322,77.346,-4.610,-0.124,0.001,0.000,505.5,359.3,35.0,497.9,369.6,-8.2,7.162,-0.049,-2.517,7.110,0.130,-2.525,22.8,15.3,0.1,-110.4,-109.7,-9.7,0.526,0.443,0.000,14.49,3.51,-7.39,7.62,1.68,0.00,23.74,8.13,2.77,0.78,0.01,0.02,1023.928,686.361,2.342,319.845,5.842,-113.601,0,0,0,0
3.523,64.140,-85.537,72.000,65.334,-85.567,70.324,77.346,-4.615,-0.109,-0.051,-0.039,506.1,358.5,35.0,498.5,368.8,-8.3,7.166,-0.061,-2.513,7.115,0.132,-2.521,22.9,15.3,0.1,-110.8,-109.7,-9.7,0.526,0.422,-0.019,14.50,3.41,-7.39,7.62,1.56,0.00,23.90,8.17,2.77,0.79,0.01,0.02,1030.444,686.360,2.283,320.069,5.934,-113.423,0,0,0,0
3.539,64.045,-85.530,72.000,65.241,-85.567,70.322,77.346,-4.621,-0.095,-0.051,-0.039,506.7,357.7,35.0,499.1,368.0,-8.4,7.170,-0.074,-2.516,7.120,0.133,-2.521,23.0,15.3,0.1,-111.2,-109.6,-9.7,0.525,0.397,-0.019,14.50,0.00,-7.39,7.62,1.44,0.14,24.05,8.19,2.77,0.79,0.01,0.02,1036.964,686.359,2.332,320.290,5.977,-113.424,0,0,0,0
3.569,63.951,-85.524,72.000,65.147,-85.567,70.322,77.346,-4.626,-0.082,0.000,0.000,507.3,356.9,35.0,499.7,367.2,-8.5,7.175,-0.087,-2.516,7.124,0.132,-2.500,23.2,15.3,0.1,-110.0,-107.7,-9.0,0.525,0.372,0.000,14.51,0.00,-7.38,7.62,0.00,0.14,24.20,8.19,2.77,0.79,0.01,0.02,1043.488,686.359,2.330,320.509,5.939,-112.447,0,0,0,0
3.576,63.857,-85.517,72.000,65.054,-85.567,70.323,77.346,-4.631,-0.070,0.001,0.000,507.9,356.1,35.0,500.3,366.4,-8.6,7.179,-0.102,-2.516,7.129,0.130,-2.500,23.3,15.3,0.1,-111.9,-109.5,-9.7,0.525,0.348,0.000,14.52,0.00,-7.40,7.62,0.00,0.00,24.35,8.19,2.77,0.78,0.01,0.02,1050.016,686.358,2.322,320.725,5.830,-112.460,0,0,0,0
3.600,63.763,-85.509,72.000,64.960,-85.567,70.321,77.345,-4.636,-0.058,0.001,0.000,508.5,355.3,35.0,500.9,365.5,-8.7,7.183,-0.117,-2.519,7.134,0.126,-2.500,23.5,15.3,0.1,-112.3,-109.5,-9.7,0.525,0.323,0.000,14.52,0.00,-7.37,7.62,0.00,0.00,24.51,8.19,2.77,0.80,0.01,0.02,1056.548,686.357,2.371,320.938,5.660,-112.457,0,0,0,0
3.616,63.668,-85.501,72.000,64.866,-85.567,70.323,77.345,-4.641,-0.048,0.001,0.000,509.1,354.5,35.0,501.5,364.7,-8.8,7.187,-0.132,-2.515,7.139,0.121,-2.501,23.6,15.3,0.1,-112.7,-109.5,-9.7,0.525,0.298,0.000,14.53,0.00,-7.40,7.62,0.00,0.00,24.66,8.19,2.77,0.80,0.01,0.02,1063.085,686.357,2.312,321.149,5.436,-112.512,0,0,0,0
3.648,63.574,-85.493,72.000,64.772,-85.567,70.321,77.345,-4.646,-0.038,0.001,0.001,509.7,353.7,35.0,502.1,363.9,-8.9,7.191,-0.149,-2.518,7.143,0.115,-2.501,23.8,15.3,0.1,-113.0,-109.4,-9.8,0.524,0.273,0.000,14.54,0.00,-7.38,7.62,0.00,0.00,24.81,8.19,2.77,0.80,0.01,0.02,1069.625,686.356,2.361,321.357,5.166,-112.509,0,0,0,0
3.664,63.479,-85.484,72.000,64.679,-85.567,70.324,77.345,-4.651,-0.030,0.001,0.001,510.3,352.9,35.0,502.7,363.1,-9.0,7.195,-0.166,-2.514,7.148,0.108,-2.506,23.9,15.3,0.1,-113.4,-109.4,-9.8,0.524,0.249,0.000,14.55,0.00,-7.40,7.62,0.00,0.00,24.96,8.19,2.77,0.81,0.01,0.02,1076.169,686.356,2.302,321.563,4.855,-112.732,0,0,0,0
3.680,63.385,-85.475,72.000,64.584,-85.567,70.322,77.345,-4.656,-0.022,0.001,0.001,510.9,352.1,35.0,503.2,362.2,-9.1,7.199,-0.184,-2.518,7.152,0.100,-2.506,24.1,15.3,0.1,-113.8,-109.4,-9.8,0.524,0.224,0.000,14.55,0.00,-7.38,7.62,0.00,0.00,25.12,8.19,2.77,0.81,0.01,0.02,1082.717,686.355,2.351,321.766,4.507,-112.729,0,0,0,0
3.696,63.290,-85.466,72.000,64.490,-85.567,70.324,77.345,-4.661,-0.016,0.001,0.001,511.5,351.3,35.0,503.8,361.4,-9.1,7.202,-0.203,-2.514,7.157,0.092,-2.526,24.2,15.3,0.1,-114.2,-109.3,-9.8,0.524,0.199,0.000,14.56,0.00,-7.40,7.62,0.00,0.00,25.27,8.19,2.77,0.81,0.01,0.02,1089.269,686.355,2.291,321.966,4.127,-113.625,0,0,0,0
3.726,63.195,-85.456,72.000,64.396,-85.567,70.322,77.345,-4.666,-0.010,0.001,0.001,512.1,350.5,35.0,504.4,360.6,-9.2,7.206,-0.222,-2.517,7.161,0.083,-2.526,24.4,15.3,0.1,-114.5,-109.3,-9.8,0.524,0.174,0.000,14.57,0.00,-7.39,7.63,0.00,0.00,25.42,8.19,2.77,0.82,0.01,0.02,1095.824,686.354,2.341,322.164,3.717,-113.623,0,0,0,0
3.742,63.100,-85.446,72.000,64.302,-85.567,70.325,77.345,-4.671,-0.006,-0.051,-0.039,512.7,349.7,35.0,505.0,359.8,-9.3,7.210,-0.242,-2.513,7.166,0.073,-2.522,24.5,15.3,0.1,-114.9,-109.2,-9.8,0.523,0.150,-0.019,14.57,0.00,-7.39,7.63,0.00,0.00,25.57,8.19,2.77,0.82,0.01,0.02,1102.384,686.354,2.281,322.359,3.279,-113.444,0,0,0,0
3.758,63.005,-85.436,72.000,64.207,-85.567,70.323,77.345,-4.676,-0.003,-0.051,-0.039,513.3,348.9,35.0,505.6,358.9,-9.4,7.214,-0.263,-2.516,7.170,0.063,-2.522,24.7,15.3,0.1,-115.3,-109.2,-9.8,0.523,0.125,-0.019,14.58,0.00,-7.39,7.63,0.00,0.14,25.73,8.19,2.77,0.82,0.01,0.02,1108.946,686.353,2.331,322.552,2.813,-113.445,0,0,0,0
3.790,62.910,-85.425,72.000,64.113,-85.567,70.321,77.345,-4.681,-0.000,0.018,0.014,513.9,348.1,35.0,506.2,358.1,-9.5,7.217,-0.285,-2.518,7.174,0.052,-2.496,24.8,15.3,0.1,-113.9,-107.0,-9.0,0.523,0.100,0.007,14.58,0.00,-7.37,7.63,0.00,0.14,25.88,8.19,2.78,0.83,0.01,0.02,1115.513,686.353,2.362,322.742,2.318,-112.305,0,0,0,0
3.796,62.815,-85.414,72.000,64.018,-85.567,70.323,77.345,-4.686,0.001,0.018,0.014,514.5,347.3,35.0,506.8,357.3,-9.6,7.221,-0.307,-2.516,7.178,0.040,-2.497,24.9,15.3,0.1,-116.0,-109.1,-9.8,0.523,0.075,0.007,14.59,0.00,-7.40,7.63,0.00,0.05,26.03,8.19,2.78,0.82,0.01,0.02,1122.083,686.352,2.321,322.930,1.794,-112.315,0,0,0,0
3.821,62.720,-85.402,72.000,63.924,-85.567,70.321,77.345,-4.691,0.001,0.018,0.014,515.1,346.5,35.0,507.4,356.4,-9.7,7.224,-0.330,-2.519,7.182,0.011,-2.496,25.1,15.3,0.1,-116.4,-109.1,-9.8,0.522,0.052,0.007,14.60,0.00,-7.37,7.63,0.00,0.05,26.18,8.19,2.78,0.83,0.00,0.02,1128.656,686.352,2.370,323.115,0.498,-112.311,0,0,0,0
3.836,62.624,-85.390,72.000,63.829,-85.567,70.323,77.345,-4.696,0.001,0.018,0.014,515.7,345.7,35.0,508.0,355.6,-9.8,7.228,-0.354,-2.515,7.186,-0.018,-2.498,25.2,15.3,0.1,-116.8,-109.0,-9.8,0.522,0.032,0.007,14.60,0.00,-7.40,7.63,0.00,0.05,26.34,8.19,2.78,0.84,0.00,0.02,1135.233,686.351,2.311,323.297,-0.811,-112.358,0,0,0,0
3.868,62.529,-85.378,72.000,63.734,-85.567,70.321,77.345,-4.700,0.001,0.019,0.014,516.3,344.9,35.0,508.6,354.7,-9.9,7.231,-0.379,-2.518,7.190,-0.047,-2.497,25.4,15.3,0.1,-117.2,-109.0,-9.8,0.522,0.018,0.007,14.61,0.00,-7.38,7.63,0.00,0.05,26.49,8.19,2.78,0.84,0.00,0.02,1141.814,686.351,2.360,323.477,-2.110,-112.354,0,0,0,0
3.884,62.433,-85.365,72.000,63.639,-85.567,70.324,77.345,-4.705,0.001,0.019,0.014,516.9,344.1,35.0,509.2,353.9,-10.0,7.234,-0.404,-2.514,7.194,-0.076,-2.502,25.5,15.3,0.1,-117.5,-109.0,-9.8,0.522,0.008,0.007,14.61,0.00,-7.40,7.63,0.00,0.05,26.64,8.19,2.78,0.84,0.01,0.02,1148.397,686.350,2.301,323.655,-3.399,-112.545,0,0,0,0
3.900,62.338,-85.352,72.000,63.544,-85.567,70.322,77.345,-4.710,0.001,0.019,0.014,517.5,343.3,35.0,509.7,353.0,-10.1,7.238,-0.430,-2.517,7.198,-0.104,-2.502,25.7,15.3,0.1,-117.9,-108.9,-9.9,0.522,0.004,0.007,14.62,0.00,-7.38,7.63,0.00,0.05,26.79,8.19,2.78,0.85,0.01,0.02,1154.984,686.350,2.351,323.830,-4.680,-112.541,0,0,0,0
3.916,62.242,-85.339,72.000,63.449,-85.567,70.324,77.345,-4.715,0.001,0.019,0.014,518.1,342.5,35.0,510.3,352.2,-10.2,7.241,-0.457,-2.514,7.202,-0.127,-2.521,25.8,15.3,0.1,-118.3,-108.9,-9.9,0.521,-0.019,0.007,14.62,-3.74,-7.41,7.63,0.00,0.05,26.95,8.19,2.78,0.85,0.01,0.02,1161.574,686.349,2.291,324.002,-5.702,-113.436,0,0,0,0
3.945,62.146,-85.325,72.000,63.354,-85.567,70.322,77.345,-4.719,0.001,0.019,0.014,518.7,341.7,35.0,510.9,351.4,-10.3,7.244,-0.485,-2.517,7.206,-0.149,-2.521,26.0,15.3,0.1,-118.7,-108.8,-9.9,0.521,-0.043,0.007,14.63,-3.81,-7.39,7.62,0.07,0.05,27.10,8.20,2.78,0.85,0.01,0.02,1168.168,686.349,2.341,324.172,-6.686,-113.434,0,0,0,0
3.961,62.051,-85.311,72.000,63.258,-85.567,70.325,77.345,-4.724,0.001,-0.023,-0.017,519.3,340.9,35.0,511.5,350.5,-10.4,7.247,-0.513,-2.513,7.210,-0.169,-2.520,26.1,15.3,0.1,-118.0,-107.6,-9.4,0.521,-0.071,-0.008,14.64,-3.89,-7.39,7.62,0.16,0.05,27.25,8.20,2.79,0.86,0.02,0.02,1174.764,686.348,2.286,324.339,-7.611,-113.357,0,0,0,0
3.977,61.955,-85.296,72.000,63.163,-85.567,70.323,77.345,-4.729,0.001,-0.023,-0.017,519.9,340.1,35.0,512.1,349.7,-10.5,7.250,-0.542,-2.516,7.213,-0.189,-2.520,26.3,15.3,0.1,-119.5,-108.8,-9.9,0.521,-0.104,-0.008,14.64,-3.98,-7.39,7.62,0.28,0.06,27.40,8.20,2.79,0.85,0.02,0.02,1181.364,686.348,2.331,324.504,-8.488,-113.356,0,0,0,0
4.009,61.859,-85.281,72.000,63.068,-85.567,70.321,77.345,-4.733,0.001,0.047,0.036,520.5,339.3,35.0,512.7,348.8,-10.6,7.253,-0.572,-2.518,7.217,-0.208,-2.494,26.4,15.3,0.1,-118.1,-106.6,-9.1,0.520,-0.140,0.017,14.65,-4.06,-7.37,7.62,0.41,0.06,27.56,8.21,2.79,0.86,0.02,0.02,1187.966,686.348,2.362,324.666,-9.337,-112.216,0,0,0,0
4.015,61.763,-85.266,72.000,62.972,-85.567,70.323,77.345,-4.738,0.001,0.047,0.036,521.1,338.5,35.0,513.2,347.9,-10.7,7.256,-0.602,-2.515,7.220,-0.226,-2.495,26.6,15.3,0.1,-120.2,-108.7,-9.9,0.520,-0.181,0.017,14.65,-4.15,-7.40,7.62,0.57,0.12,27.71,8.22,2.79,0.85,0.02,0.02,1194.572,686.347,2.321,324.826,-10.175,-112.224,0,0,0,0
4.040,61.666,-85.250,72.000,62.876,-85.567,70.321,77.345,-4.743,0.001,0.047,0.036,521.7,337.7,35.0,513.8,347.1,-10.8,7.259,-0.633,-2.518,7.224,-0.245,-2.494,26.7,15.3,0.1,-120.6,-108.6,-9.9,0.520,-0.226,0.017,14.66,-4.24,-7.37,7.62,0.75,0.12,27.86,8.24,2.79,0.87,0.02,0.02,1201.180,686.347,2.370,324.983,-11.010,-112.220,0,0,0,0
4.055,61.570,-85.234,72.000,62.781,-85.567,70.324,77.345,-4.747,0.001,0.047,0.036,522.3,336.9,35.0,514.4,346.2,-10.9,7.262,-0.665,-2.515,7.227,-0.263,-2.495,26.8,15.3,0.1,-121.0,-108.6,-9.9,0.520,-0.274,0.017,14.66,-4.33,-7.40,7.62,0.96,0.12,28.01,8.26,2.80,0.87,0.03,0.02,1207.791,686.346,2.311,325.138,-11.849,-112.264,0,0,0,0
4.087,61.474,-85.218,72.000,62.685,-85.567,70.321,77.345,-4.752,0.001,0.047,0.036,522.9,336.1,35.0,515.0,345.4,-11.0,7.265,-0.698,-2.518,7.231,-0.282,-2.495,27.0,15.3,0.1,-121.4,-108.5,-9.9,0.520,-0.327,0.017,14.67,-4.42,-7.38,7.62,1.19,0.12,28.17,8.28,2.80,0.87,0.03,0.02,1214.405,686.346,2.360,325.290,-12.697,-112.260,0,0,0,0
4.103,61.378,-85.201,72.000,62.589,-85.567,70.324,77.345,-4.756,0.001,0.047,0.036,523.5,335.3,35.0,515.6,344.5,-11.0,7.267,-0.731,-2.514,7.234,-0.301,-2.500,27.1,15.3,0.1,-121.8,-108.5,-9.9,0.519,-0.383,0.017,14.67,-4.52,-7.40,7.62,1.45,0.12,28.32,8.31,2.80,0.88,0.03,0.02,1221.022,686.346,2.301,325.439,-13.561,-112.450,0,0,0,0
4.119,61.281,-85.184,72.000,62.493,-85.567,70.322,77.345,-4.761,0.001,0.047,0.036,524.1,334.5,35.0,516.1,343.6,-11.1,7.270,-0.766,-2.517,7.237,-0.321,-2.500,27.3,15.3,0.1,-122.2,-108.4,-9.9,0.519,-0.442,0.017,14.67,-4.61,-7.38,7.62,1.73,0.12,28.47,8.35,2.80,0.88,0.03,0.02,1227.642,686.345,2.351,325.587,-14.463,-112.447,0,0,0,0
4.135,61.185,-85.167,72.000,62.397,-85.567,70.324,77.345,-4.765,0.001,0.047,0.036,524.7,333.7,35.0,516.7,342.8,-11.2,7.273,-0.801,-2.513,7.240,-0.342,-2.519,27.4,15.3,0.1,-122.5,-108.4,-9.9,0.519,-0.503,0.017,14.68,-4.70,-7.41,7.62,2.04,0.12,28.62,8.39,2.81,0.88,0.03,0.02,1234.264,686.345,2.291,325.731,-15.406,-113.341,0,0,0,0
4.165,61.088,-85.149,72.000,62.301,-85.567,70.322,77.345,-4.770,0.001,0.047,0.036,525.3,332.9,35.0,517.3,341.9,-11.3,7.275,-0.836,-2.517,7.244,-0.364,-2.519,27.6,15.3,0.1,-122.9,-108.4,-10.0,0.519,-0.566,0.017,14.68,-4.79,-7.39,7.62,2.36,0.12,28.78,8.43,2.81,0.89,0.04,0.03,1240.889,686.345,2.341,325.873,-16.388,-113.339,0,0,0,0
4.181,60.991,-85.131,72.000,62.204,-85.567,70.325,77.345,-4.774,0.001,-0.012,-0.010,525.9,332.1,35.0,517.9,341.0,-11.4,7.278,-0.873,-2.513,7.247,-0.387,-2.521,27.7,15.3,0.1,-122.3,-107.1,-9.5,0.518,-0.631,-0.005,14.69,-4.88,-7.39,7.62,2.71,0.12,28.93,8.49,2.81,0.89,0.04,0.03,1247.516,686.344,2.286,326.013,-17.410,-113.423,0,0,0,0
4.197,60.895,-85.112,72.000,62.108,-85.567,70.323,77.345,-4.779,0.001,-0.012,-0.009,526.5,331.3,35.0,518.4,340.2,-11.5,7.280,-0.910,-2.516,7.250,-0.411,-2.521,27.9,15.3,0.1,-123.7,-108.3,-10.0,0.518,-0.698,-0.005,14.69,-4.97,-7.39,7.61,3.08,0.03,29.08,8.55,2.81,0.89,0.04,0.02,1254.146,686.344,2.331,326.150,-18.471,-113.425,0,0,0,0
