Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
7.809,42.503,-75.653,72.000,43.677,-76.822,70.322,77.345,-5.349,3.910,0.040,0.031,634.5,187.3,35.0,627.2,195.1,-21.2,7.044,-2.339,-2.518,7.086,-2.217,-2.506,54.4,10.1,0.1,-208.8,-106.2,-10.6,0.467,-0.635,0.015,14.21,-6.54,-7.38,6.64,4.15,0.11,55.11,22.06,6.08,1.48,0.23,0.03,2446.809,453.030,2.353,318.761,-99.752,-112.754,0,0,0,0
7.815,42.396,-75.565,72.000,43.570,-76.740,70.324,77.345,-5.352,3.931,0.018,0.014,635.1,186.5,35.0,627.8,194.3,-21.2,7.040,-2.349,-2.514,7.082,-2.228,-2.524,54.5,10.0,0.1,-209.4,-106.2,-10.6,0.467,-0.635,0.006,14.20,-6.56,-7.41,6.64,4.16,0.11,55.25,22.14,6.08,1.48,0.24,0.03,2453.253,450.884,2.294,318.597,-100.246,-113.552,0,0,0,0
7.841,42.289,-75.477,72.000,43.462,-76.657,70.322,77.345,-5.355,3.952,0.018,0.014,635.7,185.7,35.0,628.4,193.5,-21.3,7.037,-2.360,-2.517,7.078,-2.239,-2.524,54.7,10.0,0.1,-210.0,-106.3,-10.6,0.466,-0.635,0.006,14.19,-6.57,-7.39,6.63,4.17,0.05,55.38,22.23,6.08,1.48,0.24,0.03,2459.693,448.728,2.344,318.434,-100.738,-113.549,0,0,0,0
7.857,42.182,-75.388,72.000,43.354,-76.574,70.324,77.345,-5.358,3.972,-0.052,-0.040,636.3,184.9,35.0,629.0,192.6,-21.3,7.033,-2.371,-2.513,7.075,-2.250,-2.531,54.8,9.9,0.1,-210.6,-106.3,-10.6,0.466,-0.635,-0.019,14.19,-6.58,-7.40,6.62,4.17,0.05,55.51,22.31,6.09,1.49,0.24,0.03,2466.130,446.562,2.284,318.269,-101.230,-113.880,0,0,0,0
7.889,42.075,-75.299,72.000,43.247,-76.490,70.322,77.345,-5.360,3.993,-0.052,-0.040,636.9,184.1,35.0,629.6,191.8,-21.3,7.029,-2.382,-2.516,7.071,-2.261,-2.531,55.0,9.9,0.1,-211.1,-106.3,-10.6,0.466,-0.636,-0.019,14.18,-6.60,-7.39,6.61,4.18,0.14,55.64,22.39,6.09,1.49,0.24,0.03,2472.563,444.386,2.334,318.104,-101.721,-113.880,0,0,0,0
7.905,41.968,-75.210,72.000,43.139,-76.406,70.323,77.345,-5.363,4.014,-0.016,-0.012,637.5,183.3,35.0,630.3,191.0,-21.3,7.025,-2.392,-2.515,7.067,-2.272,-2.510,55.1,9.8,0.1,-210.1,-104.7,-10.0,0.465,-0.636,-0.006,14.17,-6.61,-7.38,6.60,4.19,0.14,55.78,22.48,6.09,1.49,0.24,0.03,2478.993,442.201,2.308,317.940,-102.211,-112.940,0,0,0,0
7.921,41.861,-75.120,72.000,43.031,-76.322,70.323,77.345,-5.366,4.035,-0.016,-0.012,638.1,182.5,35.0,630.9,190.2,-21.4,7.021,-2.403,-2.516,7.064,-2.283,-2.511,55.2,9.8,0.1,-212.3,-106.4,-10.6,0.465,-0.636,-0.006,14.16,-6.62,-7.40,6.59,4.20,0.04,55.91,22.56,6.09,1.48,0.24,0.02,2485.420,440.006,2.325,317.774,-102.701,-112.957,0,0,0,0
7.937,41.754,-75.030,72.000,42.923,-76.237,70.321,77.345,-5.369,4.056,-0.016,-0.012,638.7,181.7,35.0,631.5,189.4,-21.4,7.017,-2.414,-2.519,7.060,-2.294,-2.511,55.4,9.7,0.1,-217.4,-111.0,-12.2,0.465,-0.636,-0.140,14.16,-6.64,-7.37,6.59,4.21,0.04,56.04,22.65,6.09,1.50,0.24,0.03,2491.843,437.801,2.374,317.607,-103.191,-112.950,0,0,0,0
7.968,41.646,-74.939,72.000,42.815,-76.151,70.323,77.345,-5.372,4.077,-0.016,-0.012,639.3,180.9,35.0,632.1,188.6,-21.4,7.014,-2.424,-2.515,7.056,-2.305,-2.513,55.5,9.7,0.1,-213.5,-106.5,-10.6,0.464,-0.636,-0.140,14.15,-6.65,-7.40,6.58,4.22,1.03,56.17,22.73,6.11,1.53,0.25,0.03,2498.263,435.586,2.316,317.440,-103.680,-113.037,0,0,0,0
7.975,41.539,-74.848,72.000,42.707,-76.066,70.321,77.345,-5.375,4.098,-0.016,-0.012,639.9,180.1,35.0,632.7,187.7,-21.4,7.010,-2.435,-2.518,7.052,-2.315,-2.512,55.7,9.6,0.1,-214.1,-106.5,-10.6,0.464,-0.636,-0.140,14.14,-6.66,-7.38,6.57,4.23,1.04,56.30,22.82,6.13,1.51,0.25,0.03,2504.679,433.361,2.365,317.272,-104.168,-113.029,0,0,0,0
